0,1,2
P13569,c100205,0
P0A6D3,c100283,0
O60674,c100348,1
P23458,c100348,1
P43405,c100348,0
P52333,c100348,1
P23458,c100349,1
P52333,c100349,1
O60674,c100350,1
P23458,c100350,1
P43405,c100350,1
P52333,c100350,1
O60674,c100351,1
P23458,c100351,1
P43405,c100351,1
P52333,c100351,1
O43613,c102131,0
O43614,c102131,0
O43613,c102132,0
O43614,c102132,0
O43613,c102133,0
O43614,c102133,0
O43613,c102134,0
O43614,c102134,0
O43613,c102135,0
O43614,c102135,0
O43613,c102136,0
O43614,c102136,0
O43613,c102137,0
O43614,c102137,0
O43613,c102138,0
O43614,c102138,0
O43613,c102139,0
O43614,c102139,0
O43613,c102140,0
O43614,c102140,0
O43613,c102141,0
O43614,c102141,0
O43613,c102142,0
O43614,c102142,0
O43613,c102143,0
O43614,c102143,0
O43613,c102144,0
O43614,c102144,0
O43613,c102145,0
O43614,c102145,0
O43613,c102151,0
O43614,c102151,0
O43613,c102152,0
O43614,c102152,0
O43613,c102153,0
O43614,c102153,0
O43613,c102154,0
O43614,c102154,0
O43613,c102155,0
O43614,c102155,0
O43613,c102157,0
O43614,c102157,0
O43613,c102164,0
O43614,c102164,0
O43613,c102168,1
O43614,c102168,1
O43613,c102169,0
O43614,c102169,0
O43613,c102171,0
O43614,c102171,0
O43613,c102172,0
O43614,c102172,1
O43613,c102173,0
O43614,c102173,0
O43613,c102174,0
O43614,c102174,0
O43613,c102176,0
O43614,c102176,0
O43613,c102177,0
O43614,c102177,0
O43613,c102178,0
O43614,c102178,0
O43613,c102179,0
O43614,c102179,0
O43613,c102183,0
O43614,c102183,0
O43613,c102186,0
O43614,c102186,0
O43613,c102189,0
O43614,c102189,0
O43613,c102190,0
O43614,c102190,0
O43613,c102192,0
O43614,c102192,0
O43613,c102194,0
O43614,c102194,0
O43613,c102202,0
O43614,c102202,0
O43613,c102206,0
O43614,c102206,0
O43613,c102211,0
O43614,c102211,0
O43613,c102212,0
O43614,c102212,0
O43613,c102224,0
O43614,c102224,0
O43613,c102227,0
O43614,c102227,0
O43613,c102233,0
O43614,c102233,0
O43613,c102240,0
O43614,c102240,0
O43613,c102242,0
O43614,c102242,0
O43613,c102254,0
O43614,c102254,0
O43613,c102257,0
O43614,c102257,0
O43613,c102258,0
O43614,c102258,1
O43613,c102259,0
O43614,c102259,0
O43613,c102265,0
O43614,c102265,0
O43613,c102269,0
O43614,c102269,0
O43613,c102272,0
O43614,c102272,0
O43613,c102276,0
O43614,c102276,0
O43613,c102278,0
O43614,c102278,0
O43613,c102279,0
O43614,c102279,0
O43613,c102281,0
O43614,c102281,0
O43613,c102285,0
O43614,c102285,0
O43613,c102289,0
O43614,c102289,0
O43613,c102293,0
O43614,c102293,1
O43613,c102296,0
O43614,c102296,0
O43613,c102298,0
O43614,c102298,0
O43613,c102303,0
O43614,c102303,0
O43613,c102306,0
O43614,c102306,0
P05771,c102423,1
P17252,c102423,1
Q02156,c102423,1
Q05655,c102423,1
P45983,c102563,1
P27361,c103302,0
P28482,c103302,0
P36888,c103622,1
P36888,c103623,1
P80188,c104011,0
P80188,c104012,1
P80188,c104013,0
P80188,c104014,1
P11309,c104065,0
P53355,c104065,0
Q86V86,c104065,0
Q9P1W9,c104065,0
P11309,c104066,0
P53355,c104066,0
Q86V86,c104066,0
Q9P1W9,c104066,0
P14598,c10443,0
P14598,c10450,0
P22001,c10458,0
Q02750,c104963,1
P08908,c10755,1
P08909,c10755,0
P21728,c10755,0
P28221,c10755,1
P34969,c10755,1
P07477,c10758,0
P11229,c10759,0
P31749,c108425,1
P31749,c108426,1
P31749,c108427,1
P31749,c108428,1
P31749,c108429,1
P31749,c108430,1
P31749,c108431,1
P31749,c108432,1
P31749,c108433,1
P31749,c108434,1
P31749,c108435,1
P31749,c108436,1
P31749,c108437,1
P31749,c108438,1
P31749,c108439,1
P31749,c108440,1
P31749,c108442,0
P31749,c108443,0
P31749,c108444,0
P30542,c10847,0
P30542,c10849,0
Q873X9,c10850,0
Q873X9,c10853,0
Q873X9,c10854,0
P00918,c10857,0
P00918,c10859,1
P00918,c10877,0
O43570,c10880,1
P00915,c10880,0
P00918,c10880,1
P07451,c10880,0
P22748,c10880,1
P23280,c10880,1
P35218,c10880,0
P43166,c10880,1
Q16790,c10880,1
Q8N1Q1,c10880,1
Q9ULX7,c10880,1
Q9Y2D0,c10880,0
O43570,c10882,0
P00915,c10882,1
P00918,c10882,1
P23280,c10882,0
P43166,c10882,1
Q8N1Q1,c10882,1
P00918,c10884,1
P00918,c10885,1
P00918,c10887,1
P35218,c10887,1
P00918,c10888,0
P35218,c10888,1
O94925,c109086,0
O14965,c109206,1
O14965,c109207,1
O14965,c109208,1
Q07817,c109232,1
P10415,c109236,0
Q07820,c109236,0
Q92843,c109236,0
P11509,c109750,0
P9WPN5,c10999,0
P42684,c11,1
P27487,c11162,1
P36888,c112464,1
P00338,c11273,0
P16083,c11323,0
P56817,c114543,1
P35354,c11639,0
P27487,c11695,1
P11309,c11833,0
P11309,c11834,0
P11309,c11835,1
P08684,c119125,0
P08684,c119126,0
P08684,c119127,0
P08684,c119128,0
P08684,c119129,0
P00918,c11929,1
P00918,c11930,1
P00918,c11931,1
P00918,c11932,1
P00918,c11933,1
P00918,c11934,1
P00918,c11935,1
P00918,c11936,1
P00918,c11937,1
P00918,c11938,1
P22629,c12,1
P28482,c120095,1
P00918,c12013,1
P00918,c12020,1
P09382,c120768,0
P17931,c120768,0
P09382,c120769,0
P17931,c120769,0
P17931,c120770,0
P09382,c120771,0
P17931,c120771,0
P09382,c120772,0
P17931,c120772,0
P09382,c120773,0
P17931,c120773,0
P09382,c120774,0
P17931,c120774,0
P09382,c120775,0
P17931,c120775,0
P09382,c120776,0
P17931,c120776,0
Q99640,c12255,0
O43613,c123322,0
O43614,c123322,0
O43613,c123323,0
O43614,c123323,0
O43613,c123324,0
O43614,c123324,0
O43613,c123325,1
O43614,c123325,1
O43613,c123326,0
O43614,c123326,0
O43613,c123327,1
O43614,c123327,1
O43613,c123328,0
O43614,c123328,0
O43613,c123329,0
O43614,c123329,1
O43613,c123330,0
O43614,c123330,0
O43613,c123331,0
O43614,c123331,0
O43613,c123332,0
O43614,c123332,0
O43613,c123334,0
O43614,c123334,0
O43613,c123335,0
O43614,c123335,0
O43613,c123336,0
O43614,c123336,0
O43613,c123337,0
O43614,c123337,0
O43613,c123338,1
O43614,c123338,1
O43613,c123339,0
O43614,c123339,0
O43613,c123340,0
O43614,c123340,0
O43613,c123341,0
O43614,c123341,1
O43613,c123342,0
O43614,c123342,0
O43613,c123343,0
O43614,c123343,0
O43613,c123344,1
O43614,c123344,0
O43613,c123345,0
O43614,c123345,0
O43613,c123346,0
O43614,c123346,0
O43613,c123348,0
O43614,c123348,0
O43613,c123349,0
O43614,c123349,1
O43613,c123350,1
O43614,c123350,0
O43613,c123351,0
O43614,c123351,0
