target,drug,label
Q15758,DB00174,1
P02749,DB00972,0
P01859,DB08510,1
Q9NR82,DB04407,0
Q9BQB6,DB04798,0
P23219,DB00814,1
P07741,DB01169,0
O14764,DB00842,1
P11229,DB00411,1
P18825,DB00844,0
O95907,DB07351,0
P36896,DB00964,0
P24941,DB07751,1
Q15759,DB08333,0
Q16566,DB00524,0
O95954,DB04575,0
P28223,DB08927,1
P08588,DB01365,1
Q8WVQ1,DB03754,1
Q86XF0,DB02402,1
Q8WX39,DB01241,0
O00142,DB00117,0
P62330,DB01357,0
P25101,DB04924,0
Q16539,DB01948,1
Q9P0J0,DB02342,0
P15259,DB01681,1
P11712,DB00679,1
P05177,DB08025,0
P30926,DB01227,1
P68400,DB07715,1
Q9UJS0,DB02115,0
P16499,DB07023,0
P08172,DB00376,1
P15121,DB01689,1
O43837,DB06944,0
P08581,DB06997,1
P14867,DB00818,1
P01850,DB03217,0
O94925,DB00142,1
Q9P0X4,DB00335,0
P02585,DB00831,0
P10826,DB00210,1
P16930,DB04505,0
Q92769,DB03326,0
Q9HBH5,DB01204,0
P11387,DB01030,1
Q15825,DB07959,0
P34969,DB08073,0
Q13639,DB01079,1
Q08499,DB03849,1
P51580,DB00722,0
Q9UBN7,DB06603,1
P33261,DB00289,1
P61925,DB08114,1
Q99928,DB01708,1
P10635,DB00531,1
P78334,DB00273,1
P54819,DB01156,0
P08684,DB04977,1
P50747,DB04867,0
P63316,DB01244,1
P43088,DB08819,1
O00222,DB00142,1
Q86VU5,DB02831,0
P08263,DB03602,1
P14324,DB07142,0
O15403,DB00805,0
Q13423,DB00463,0
Q9BYV1,DB00114,1
P23469,DB00346,0
Q9NUB1,DB04232,0
P31151,DB00622,0
O95167,DB07633,0
P10635,DB00409,1
Q16539,DB08242,1
P08217,DB06901,1
P14061,DB07412,0
P31644,DB00543,1
P00918,DB04763,1
P01270,DB06973,0
P14920,DB08399,0
P08684,DB00845,1
O14757,DB08777,1
Q96I59,DB02234,0
Q9UN19,DB01355,0
P03951,DB00473,0
P28335,DB00574,1
P78417,DB00318,0
P08684,DB09078,1
P08912,DB01239,1
P20815,DB00758,1
P07550,DB04861,1
P28223,DB01221,1
Q00535,DB02950,1
P17213,DB08918,0
O95069,DB08251,0
P47869,DB07791,0
P50281,DB00786,1
O15379,DB00310,0
P04798,DB00608,1
Q96GD0,DB00717,0
P04062,DB00397,0
P17931,DB07459,0
P11216,DB06282,0
P28702,DB00307,1
P15104,DB00142,1
P32238,DB00417,0
P78368,DB03693,1
Q9UBS5,DB00367,0
Q96RQ3,DB08113,0
O75330,DB01063,0
P10632,DB06210,1
P48169,DB00306,1
P23919,DB00119,0
P47870,DB01064,0
P41250,DB00145,1
Q9UDR5,DB07870,0
P35368,DB00598,1
P27707,DB00642,1
P34969,DB00543,1
P20839,DB01033,1
P09467,DB02778,1
O00555,DB00230,1
Q07869,DB04970,0
P06731,DB08217,1
P01834,DB07893,1
Q6ZMR3,DB08503,0
P22303,DB07555,1
P08684,DB08912,1
P30291,DB07006,1
P29475,DB02143,1
P22392,DB04315,1
Q9UKV0,DB07761,0
P08908,DB01616,1
P00734,DB08430,0
P08913,DB01267,1
Q9UJT0,DB08526,0
P11362,DB09078,1
P31749,DB01863,1
P10827,DB01583,1
O00469,DB00126,1
P33261,DB00780,1
Q9UNQ0,DB01830,0
P20132,DB01411,0
P29460,DB02118,0
P28472,DB00897,1
P21397,DB00191,1
P08684,DB01200,1
O95342,DB01007,0
P24462,DB00604,1
P05181,DB00883,1
P14324,DB00282,1
Q8IVL5,DB07294,0
P12931,DB07966,1
P07900,DB03070,0
Q8N0U8,DB01106,0
