0,1,2
O14578,DAVIS11427553,1
P57078,DAVIS11485656,0
Q9P286,DAVIS10138260,1
Q9NRM7,DAVIS11427553,1
P45985,DAVIS9926791,0
P51957,DAVIS16038120,0
Q9NWZ3,DAVIS123631,1
P36888,DAVIS11617559,0
P00519,DAVIS176155,0
P43405,DAVIS11485656,0
P41743,DAVIS11717001,0
O00750,DAVIS51004351,0
Q9NWH9,DAVIS3038522,0
Q32MK0,DAVIS10461815,0
Q8NE63,DAVIS11626560,1
P10721,DAVIS9926054,0
G3XAK1,DAVIS9929127,0
Q8N752,DAVIS216239,0
Q13163,DAVIS11712649,0
P35916,DAVIS5328940,0
Q96D53,DAVIS24889392,0
P00533,DAVIS10113978,0
Q08345,DAVIS42642645,1
O95835,DAVIS10184653,0
P07949,DAVIS44259,1
Q9H2G2,DAVIS6450551,1
Q16512,DAVIS10427712,0
Q16584,DAVIS11717001,0
Q32MK0,DAVIS11427553,1
Q9P289,DAVIS3081361,0
Q9BQI3,DAVIS44150621,0
Q9NYL2,DAVIS5287969,0
P42336,DAVIS24779724,0
P41743,DAVIS5329102,0
P10721,DAVIS11409972,1
Q96SB4,DAVIS10138260,1
Q99640,DAVIS16725726,0
Q86YV6,DAVIS3038522,0
Q9HBH9,DAVIS644241,0
P21127,DAVIS208908,0
Q15835,DAVIS156414,0
P36888,DAVIS11338033,0
P30291,DAVIS9884685,0
P36896,DAVIS11667893,0
P00519,DAVIS3062316,1
P00519,DAVIS447077,1
O15530,DAVIS6918454,0
Q86Z02,DAVIS10184653,0
Q9UKE5,DAVIS5328940,1
O60285,DAVIS24180719,0
Q8N568,DAVIS11617559,0
U3KQB3,DAVIS4908365,0
Q9HC98,DAVIS10184653,0
Q99755,DAVIS3081361,0
Q9BYT3,DAVIS153999,1
P42338,DAVIS11427553,0
Q9Y2H1,DAVIS11364421,0
O14965,DAVIS9915743,0
O14733,DAVIS11667893,0
P41240,DAVIS11485656,0
Q8IW41,DAVIS10113978,0
Q9BRS2,DAVIS447077,0
Q8TBX8,DAVIS24779724,1
Q9NRH2,DAVIS5287969,0
Q13705,DAVIS11717001,0
O43353,DAVIS10184653,1
O75582,DAVIS25243800,0
P27361,DAVIS10184653,0
G3XAK1,DAVIS42642645,1
O75460,DAVIS11617559,0
P00519,DAVIS11338033,0
P00519,DAVIS5494449,1
Q9Y616,DAVIS11314340,0
P31751,DAVIS25243800,0
Q9Y616,DAVIS9884685,0
Q9BRS2,DAVIS16722836,1
Q13464,DAVIS5291,0
P29317,DAVIS16007391,0
O96017,DAVIS176870,0
Q02763,DAVIS176870,0
Q86YV6,DAVIS153999,0
Q15746,DAVIS16722836,1
Q9BX84,DAVIS644241,0
Q9H2G2,DAVIS9915743,1
Q8IVH8,DAVIS644241,0
P53355,DAVIS11427553,1
Q13164,DAVIS11717001,0
P51957,DAVIS5328940,0
Q9NRH2,DAVIS208908,0
P53671,DAVIS44259,1
P42684,DAVIS3081361,1
P42685,DAVIS9915743,0
Q08881,DAVIS9926054,0
P10721,DAVIS176167,0
Q9UQB9,DAVIS3038525,0
O14965,DAVIS25127112,0
P00519,DAVIS17755052,0
P00519,DAVIS4908365,1
O14965,DAVIS156414,0
O75676,DAVIS9933475,0
P51451,DAVIS208908,0
P52333,DAVIS11427553,1
Q16816,DAVIS123631,1
Q8NFD2,DAVIS11364421,0
O94806,DAVIS123631,0
Q86Z02,DAVIS10427712,0
P49137,DAVIS16722836,0
Q8NG66,DAVIS9915743,0
Q14680,DAVIS5494449,1
P54753,DAVIS11717001,0
P00533,DAVIS10138260,0
Q02156,DAVIS10113978,0
Q02156,DAVIS25243800,1
P22607,DAVIS176155,0
P45984,DAVIS644241,1
P24723,DAVIS11338033,0
O43283,DAVIS16007391,0
P42684,DAVIS11617559,0
O75747,DAVIS176155,0
P53667,DAVIS3081361,0
P27361,DAVIS24779724,0
Q15375,DAVIS9933475,1
P00519,DAVIS156414,1
Q9P2K8,DAVIS176870,1
P36896,DAVIS16725726,0
P07332,DAVIS9809715,1
Q15418,DAVIS44150621,0
P49760,DAVIS9926791,0
P16591,DAVIS9929127,0
Q7L7X3,DAVIS10461815,1
P57078,DAVIS42642645,1
Q13233,DAVIS11667893,0
Q8NEV4,DAVIS5329102,1
E9PF82,DAVIS3038522,0
P78356,DAVIS11314340,1
Q13163,DAVIS3038522,1
P51955,DAVIS10184653,0
Q13705,DAVIS10074640,0
P42336,DAVIS10127622,0
O60285,DAVIS11656518,0
Q8TD19,DAVIS11314340,0
Q96BR1,DAVIS11626560,0
Q00536,DAVIS16007391,1
Q8IVH8,DAVIS151194,0
Q99755,DAVIS126565,1
Q9UPE1,DAVIS25127112,1
Q86UE8,DAVIS11984591,1
Q9Y6E0,DAVIS16038120,1
P00519,DAVIS11338033,0
Q9UPE1,DAVIS5329102,1
Q08345,DAVIS9884685,0
Q13163,DAVIS3062316,1
Q9UM73,DAVIS16722836,1
Q96PY6,DAVIS11626560,0
Q15418,DAVIS9926791,1
P22607,DAVIS126565,1
P51817,DAVIS11626560,0
P29317,DAVIS11427553,1
P06241,DAVIS11617559,0
Q9H0K1,DAVIS3025986,0
P42679,DAVIS6918454,0
O14578,DAVIS24180719,0
H7BYT1,DAVIS11485656,0
O96017,DAVIS25243800,1
Q8IWQ3,DAVIS42642645,0
Q8TDX7,DAVIS16038120,1
Q13233,DAVIS51004351,0
Q00536,DAVIS16725726,0
Q8IVH8,DAVIS5328940,1
Q56UN5,DAVIS644241,0
P53667,DAVIS9926791,0
O15075,DAVIS126565,0
P29317,DAVIS42642645,1
Q8TD08,DAVIS10138260,0
A0A087X0I6,DAVIS11984591,1
P27448,DAVIS11667893,0
Q86Z02,DAVIS11314340,1
P35968,DAVIS4908365,1
P10721,DAVIS447077,1
P08069,DAVIS25127112,0
Q92918,DAVIS51004351,1
P51955,DAVIS11626560,0
P52564,DAVIS17755052,0
Q16584,DAVIS10074640,0
P00519,DAVIS16722836,1
O14730,DAVIS153999,1
P42336,DAVIS51004351,0
Q13976,DAVIS42642645,0
P46734,DAVIS3038525,0
P29323,DAVIS11617559,0
P06213,DAVIS4908365,1
P00533,DAVIS5494449,0
P07333,DAVIS24889392,1
Q9H2K8,DAVIS11656518,1
P07947,DAVIS42642645,1
P78368,DAVIS16725726,0
Q08881,DAVIS11314340,0
Q9UK32,DAVIS10184653,0
Q9Y6E0,DAVIS5494449,1
P00519,DAVIS10138260,1
O75676,DAVIS156422,0
P23458,DAVIS11427553,1
P36888,DAVIS3025986,1
P53667,DAVIS156414,0
P29323,DAVIS11409972,1
Q9H4B4,DAVIS5329102,0
Q9Y2H1,DAVIS11617559,0
P04629,DAVIS9933475,0
Q04759,DAVIS10074640,0
P45983,DAVIS10127622,0
A0A2Q3DQE3,DAVIS3062316,0
P37023,DAVIS10427712,0
P42336,DAVIS123631,0
P04626,DAVIS10184653,1
P49674,DAVIS4908365,0
P00519,DAVIS11338033,0
O00750,DAVIS156422,0
P37173,DAVIS42642645,0
P36888,DAVIS9884685,0
P11309,DAVIS44150621,0
F8WCM8,DAVIS151194,0
P36888,DAVIS176155,0
P00519,DAVIS5328940,1
Q16512,DAVIS25243800,0
Q15303,DAVIS216239,0
P78362,DAVIS176167,0
Q9C098,DAVIS24889392,0
Q6ZN16,DAVIS5291,0
P57058,DAVIS9929127,0
P10721,DAVIS176155,0
P10721,DAVIS11984591,1
O60331,DAVIS3038525,0
P24941,DAVIS447077,0
P80192,DAVIS11656518,0
Q8IY84,DAVIS10113978,0
P48736,DAVIS9926791,0
P16234,DAVIS16007391,1
Q8NFD2,DAVIS153999,0
Q9UIK4,DAVIS9933475,0
Q9Y2U5,DAVIS11409972,1
P15735,DAVIS447077,0
P04629,DAVIS11427553,1
P42684,DAVIS11656518,1
P27037,DAVIS176870,0
P06213,DAVIS11712649,0
Q15418,DAVIS10113978,0
Q9BYT3,DAVIS644241,0
J3KPD6,DAVIS16725726,0
P54762,DAVIS10074640,0
Q13976,DAVIS11314340,1
Q9NRH2,DAVIS5329102,1
P07949,DAVIS6450551,1
P45984,DAVIS11656518,0
P08069,DAVIS9809715,1
P00533,DAVIS9884685,0
A0A087X0I6,DAVIS11234052,0
Q9UKE5,DAVIS208908,0
Q13464,DAVIS5287969,1
J3KPD6,DAVIS176167,0
P19784,DAVIS16725726,0
P20794,DAVIS44259,1
Q02763,DAVIS11984591,1
Q15831,DAVIS11656518,0
U3KQB3,DAVIS151194,0
P51812,DAVIS3038525,0
Q9UQM7,DAVIS11656518,0
Q8IU85,DAVIS10138260,1
P00533,DAVIS11617559,0
P16234,DAVIS11409972,1
P36888,DAVIS24779724,0
Q9P1W9,DAVIS9884685,0
P42336,DAVIS24180719,0
Q9Y4K4,DAVIS3081361,1
Q9NWH9,DAVIS11234052,0
Q96RR4,DAVIS153999,1
O75385,DAVIS156414,0
U3KQB3,DAVIS153999,0
Q9UL54,DAVIS153999,1
O94921,DAVIS208908,0
P51957,DAVIS11984591,1
Q92630,DAVIS11314340,1
Q9UHD2,DAVIS11667893,0
Q15835,DAVIS44150621,1
Q99640,DAVIS153999,0
O43353,DAVIS44150621,0
P00533,DAVIS44150621,0
Q08345,DAVIS10461815,1
O00238,DAVIS9884685,0
J3KPJ3,DAVIS51004351,1
Q15831,DAVIS24180719,0
P42336,DAVIS10138260,0
P41743,DAVIS17755052,0
O43172,DAVIS10138260,1
Q86Z02,DAVIS10113978,0
