drug,smiles,name
DB13088,CC(C)OC1=C2C(NC3=C(Cl)C=NC4=C3OCO4)=NC=NC2=CC(OCCN2CCN(CC2)C(C)=O)=C1,AZD-0424
DB13089,[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]1(C)C2=CC(=O)[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,Enoxolone
DB13082,CC1=CC=CC(C)=C1NC(=O)CN1CCCC1=O,Nefiracetam
DB13083,CCC(CC)C(N1C=NC=N1)C1=CC=C(NC2=NC3=CC=CC=C3S2)C=C1,Talarozole
DB13080,FC1=CC=C(C=C1)C(=O)CN1CCC(CN2CC3=CC=CC=C3C2=O)CC1,Roluperidone
DB13086,CC1(C)OB(O)C2=CC(NC(=O)C3=CC=C(F)C=C3C(F)(F)F)=CC=C12,SCYX-7158
DB13087,OC(=O)[C@H]1CCCN1C(=O)CCCCC(=O)N1CCC[C@@H]1C(O)=O,Miridesap
DB13084,CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1,Pyritinol
DB13085,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1.CCCCN(CCCC)CC(O)C1=CC(Cl)=CC2=C1C1=CC=C(Cl)C=C1\C2=C\C1=CC=C(Cl)C=C1,Riamet
DB13099,CCC(C)C(CC)C(N)=O,Valnoctamide
DB13090,OS(=O)(=O)ON1[C@H]2C[N@]([C@@H](CC2)C(=O)NNC(=O)[C@@H]2CCCNC2)C1=O,Zidebactam
DB13093,CN1N=C(C)C=C1C(=O)NC1=CC(OC2=NN3C=C(NC(=O)C4CC4)N=C3C=C2)=CC=C1C,TAK-593
DB13094,FC1=CC=C(CCN2CCN(CC2)C(=O)C2=C3NC=C(C#N)C3=CC=C2)C=C1,Pruvanserin
DB13091,CCCN(CCC)C(=O)C(CC1=CC=C(OCCN(CC)CC)C=C1)NC(=O)C1=CC=CC=C1,Tiropramide
DB13092,[H][C@@]12[C@@H](O)[C@]3([H])C(=C)C4=C(C(O)=CC=C4Cl)C(=O)C3=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C,Meclocycline
DB13097,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)C(C)C,1alpha-Hydroxyvitamin D5
DB13098,CCCCCCCCCCCCNCC(O)CCCCCCCCCN1C(=O)N(C)C2=C(N(C)C=N2)C1=O,CT-2584
DB13095,FC1=C(OC(F)(F)F)C=CC(CNC(=O)[C@H]2CN(CCN2S(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)C2=NC3=C(S2)C=NC(=N3)C2CC2)=C1,JTK-853
DB13096,C[C@H]1CCCC[C@]1(N1CCCCC1)C1=CC=CS1,Gacyclidine
DB03700,C[C@@H](O)[C@@H](N)C(O)=O,D-Threonine
DB03701,FC1=CC=C(C=C1)C(OCCN1CCN(CCCC2=CC=CC=C2)CC1)C1=CC=C(F)C=C1,Vanoxerine
