query_drug,similar_drug,similarity
DB00006,DB16146,0.7313432835820896
DB00006,DB05660,0.5797101449275363
DB00006,DB12126,0.5677966101694916
DB00006,DB14806,0.5333333333333333
DB00006,DB12199,0.5298507462686567
DB00006,DB11720,0.5151515151515151
DB00006,DB04931,0.5098039215686274
DB00006,DB01284,0.49375
DB00006,DB05479,0.4935897435897436
DB00006,DB00050,0.4722222222222222
DB00014,DB06825,0.6170212765957447
DB00014,DB00666,0.5838926174496645
DB00014,DB06788,0.5714285714285714
DB00014,DB04931,0.5031055900621118
DB00014,DB05479,0.49693251533742333
DB00014,DB12755,0.49246231155778897
DB00014,DB06763,0.48226950354609927
DB00014,DB01284,0.47058823529411764
DB00014,DB12631,0.4583333333333333
DB00014,DB09421,0.4344262295081967
DB00027,DB11724,0.4496124031007752
DB00027,DB13074,0.43529411764705883
DB00027,DB02255,0.43529411764705883
DB00027,DB02046,0.4111111111111111
DB00027,DB15194,0.3959731543624161
DB00027,DB14027,0.39072847682119205
DB00027,DB18252,0.38613861386138615
DB00027,DB07953,0.375
DB00027,DB08856,0.37362637362637363
DB00027,DB14806,0.37341772151898733
DB00035,DB14642,0.7641509433962265
DB00035,DB12495,0.6440677966101694
DB00035,DB09059,0.6016260162601627
DB00035,DB01282,0.56
DB00035,DB05034,0.4388888888888889
DB00035,DB06825,0.4013605442176871
DB00035,DB12126,0.392
DB00035,DB00006,0.3904109589041096
DB00035,DB05724,0.3885350318471338
DB00035,DB01278,0.3869346733668342
DB00050,DB05624,0.8918918918918919
DB00050,DB12581,0.8114754098360656
DB00050,DB06785,0.7966101694915254
DB00050,DB11906,0.7606837606837606
DB00050,DB00106,0.7244094488188977
DB00050,DB06699,0.6946564885496184
DB00050,DB00666,0.5273972602739726
DB00050,DB04931,0.487012987012987
DB00050,DB05479,0.4807692307692308
DB00050,DB06825,0.4726027397260274
DB00080,DB09099,0.35443037974683544
DB00080,DB15355,0.3526315789473684
DB00080,DB15873,0.32954545454545453
DB00080,DB15494,0.3275862068965517
DB00080,DB05034,0.32710280373831774
DB00080,DB13170,0.32558139534883723
DB00080,DB12292,0.32051282051282054
DB00080,DB13925,0.32
DB00080,DB13985,0.32
DB00080,DB15194,0.3096446700507614
DB00091,DB11693,0.8641975308641975
DB00091,DB12139,0.7831325301204819
DB00091,DB11869,0.6941176470588235
DB00091,DB12451,0.6632653061224489
DB00091,DB00970,0.23308270676691728
DB00091,DB12054,0.21739130434782608
DB00091,DB04805,0.2074074074074074
DB00091,DB13170,0.20666666666666667
DB00091,DB03632,0.20168067226890757
DB00091,DB01111,0.19548872180451127
DB00106,DB05624,0.8099173553719008
DB00106,DB11906,0.7768595041322314
DB00106,DB12581,0.7692307692307693
DB00106,DB00050,0.7244094488188977
DB00106,DB06785,0.7131782945736435
DB00106,DB06699,0.6861313868613139
DB00106,DB00666,0.4233128834355828
DB00106,DB00006,0.40764331210191085
DB00106,DB04931,0.391812865497076
DB00106,DB05660,0.3888888888888889
DB00114,DB02209,0.6428571428571429
DB00114,DB02142,0.627906976744186
DB00114,DB00147,0.6153846153846154
DB00114,DB01639,0.5909090909090909
DB00114,DB03629,0.5777777777777777
DB00114,DB02824,0.5714285714285714
DB00114,DB04241,0.56
DB00114,DB02783,0.5490196078431373
DB00114,DB04083,0.543859649122807
DB00114,DB03327,0.54
DB00115,DB02460,0.33783783783783783
DB00115,DB00200,0.27411167512690354
DB00115,DB03614,0.2727272727272727
DB00115,DB02030,0.26277372262773724
DB00115,DB02819,0.2152777777777778
DB00115,DB03315,0.21476510067114093
DB00115,DB03905,0.2138728323699422
DB00115,DB04230,0.21348314606741572
DB00115,DB02516,0.21081081081081082
DB00115,DB03117,0.20994475138121546
DB00116,DB02031,0.7794117647058824
DB00116,DB04789,0.7083333333333334
DB00116,DB11596,0.6891891891891891
DB00116,DB03256,0.6891891891891891
DB00116,DB02067,0.6538461538461539
DB00116,DB04322,0.6
DB00116,DB12769,0.6
DB00116,DB00650,0.575
DB00116,DB00158,0.5466666666666666
DB00116,DB02358,0.5416666666666666
DB00117,DB04151,0.5263157894736842
DB00117,DB03997,0.5121951219512195
DB00117,DB05381,0.4411764705882353
DB00117,DB02556,0.42857142857142855
DB00117,DB00120,0.42857142857142855
DB00117,DB04622,0.425
DB00117,DB00135,0.40540540540540543
DB00117,DB03223,0.4
DB00117,DB03225,0.3953488372093023
DB00117,DB00150,0.3953488372093023
DB00118,DB01910,0.6119402985074627
DB00118,DB03423,0.6029411764705882
DB00118,DB01752,0.5942028985507246
DB00118,DB03528,0.5737704918032787
DB00118,DB00194,0.5737704918032787
DB00118,DB00640,0.5737704918032787
DB00118,DB03716,0.5645161290322581
DB00118,DB02282,0.5625
DB00118,DB07052,0.5454545454545454
DB00118,DB02798,0.5362318840579711
DB00119,DB03902,0.5
DB00119,DB02736,0.4166666666666667
DB00119,DB14511,0.4166666666666667
DB00119,DB03589,0.4166666666666667
DB00119,DB04734,0.4117647058823529
DB00119,DB03940,0.38461538461538464
DB00119,DB14518,0.38461538461538464
DB00119,DB14498,0.38461538461538464
DB00119,DB14487,0.38461538461538464
DB00119,DB13996,0.38461538461538464
DB00120,DB02556,1.0
DB00120,DB04639,0.7777777777777778
DB00120,DB04029,0.7307692307692307
DB00120,DB08371,0.7241379310344828
DB00120,DB00135,0.7037037037037037
DB00120,DB04713,0.6785714285714286
DB00120,DB03660,0.6785714285714286
DB00120,DB03552,0.6666666666666666
DB00120,DB08374,0.6551724137931034
DB00120,DB02685,0.6451612903225806
DB00121,DB04650,1.0
DB00121,DB03112,0.9714285714285714
DB00121,DB02674,0.9142857142857143
DB00121,DB03139,0.7727272727272727
DB00121,DB07497,0.6341463414634146
DB00121,DB03549,0.5555555555555556
DB00121,DB03353,0.5434782608695652
DB00121,DB03775,0.45454545454545453
DB00121,DB00166,0.35555555555555557
DB00121,DB04651,0.3375
DB00122,DB01245,0.4375
DB00122,DB08960,0.4375
DB00122,DB01803,0.4117647058823529
DB00122,DB14006,0.4
DB00122,DB01401,0.3870967741935484
DB00122,DB03570,0.375
DB00122,DB01718,0.35
DB00122,DB02779,0.35
DB00122,DB03128,0.34782608695652173
DB00122,DB00202,0.34782608695652173
DB00123,DB03252,1.0
DB00123,DB00129,0.8571428571428571
DB00123,DB03590,0.7142857142857143
DB00123,DB02233,0.6666666666666666
DB00123,DB03412,0.6666666666666666
DB00123,DB03134,0.64
DB00123,DB04419,0.6
DB00123,DB15458,0.6
DB00123,DB01983,0.5925925925925926
DB00123,DB03977,0.5714285714285714
DB00125,DB04027,1.0
DB00125,DB03974,0.8928571428571429
DB00125,DB00155,0.7241379310344828
DB00125,DB03305,0.7096774193548387
DB00125,DB03144,0.6875
DB00125,DB03953,0.6774193548387096
DB00125,DB11815,0.6666666666666666
DB00125,DB12648,0.6486486486486487
DB00125,DB03801,0.6129032258064516
DB00125,DB04223,0.5945945945945946
DB00126,DB14490,0.7352941176470589
DB00126,DB04526,0.2702702702702703
DB00126,DB03548,0.2391304347826087
DB00126,DB01885,0.23684210526315788
DB00126,DB04564,0.23684210526315788
DB00126,DB03569,0.23076923076923078
DB00126,DB09245,0.22
DB00126,DB02710,0.21739130434782608
DB00126,DB02515,0.21621621621621623
DB00126,DB02803,0.21621621621621623
DB00127,DB03566,0.9285714285714286
DB00127,DB06824,0.6
DB00127,DB01143,0.46153846153846156
DB00127,DB01917,0.42857142857142855
DB00127,DB03639,0.4090909090909091
DB00127,DB03260,0.4
DB00127,DB03854,0.4
DB00127,DB08838,0.391304347826087
DB00127,DB15643,0.391304347826087
DB00127,DB03659,0.3333333333333333
DB00128,DB02655,1.0
DB00128,DB00174,0.65
DB00128,DB03847,0.6
DB00128,DB03522,0.56
DB00128,DB00133,0.55
DB00128,DB03929,0.55
DB00128,DB00142,0.5454545454545454
DB00128,DB02517,0.5454545454545454
DB00128,DB00149,0.5454545454545454
DB00128,DB02345,0.5238095238095238
DB00129,DB00123,0.8571428571428571
DB00129,DB03252,0.8571428571428571
DB00129,DB03590,0.75
DB00129,DB03412,0.625
DB00129,DB04419,0.625
DB00129,DB02233,0.625
DB00129,DB15458,0.625
DB00129,DB03134,0.6
DB00129,DB02571,0.5769230769230769
DB00129,DB01983,0.5555555555555556
DB00130,DB02174,1.0
DB00130,DB00142,0.6818181818181818
DB00130,DB02517,0.6818181818181818
DB00130,DB04296,0.625
DB00130,DB03590,0.5909090909090909
DB00130,DB02446,0.5769230769230769
DB00130,DB00174,0.5652173913043478
DB00130,DB03473,0.5555555555555556
DB00130,DB04422,0.5416666666666666
DB00130,DB04185,0.5416666666666666
DB00131,DB16833,0.8490566037735849
DB00131,DB02798,0.8461538461538461
DB00131,DB01690,0.8461538461538461
DB00131,DB01717,0.8461538461538461
DB00131,DB02738,0.8333333333333334
DB00131,DB00171,0.8333333333333334
DB00131,DB01812,0.8301886792452831
DB00131,DB02098,0.8148148148148148
DB00131,DB03148,0.8148148148148148
DB00131,DB02596,0.8035714285714286
DB00132,DB00159,0.8518518518518519
DB00132,DB14104,0.7931034482758621
DB00132,DB00154,0.7931034482758621
DB00132,DB03756,0.7142857142857143
DB00132,DB04557,0.7
DB00132,DB04224,0.6896551724137931
DB00132,DB04257,0.6896551724137931
DB00132,DB04801,0.6896551724137931
DB00132,DB04747,0.6774193548387096
DB00132,DB04746,0.59375
DB00133,DB03929,1.0
DB00133,DB03590,0.55
DB00133,DB00128,0.55
DB00133,DB04454,0.55
DB00133,DB02655,0.55
DB00133,DB03847,0.55
DB00133,DB03201,0.55
DB00133,DB00151,0.55
DB00133,DB02345,0.55
DB00133,DB00138,0.5238095238095238
DB00134,DB02893,1.0
DB00134,DB02216,0.625
DB00134,DB03816,0.5714285714285714
DB00134,DB04185,0.56
DB00134,DB03799,0.5517241379310345
DB00134,DB03590,0.5416666666666666
DB00134,DB15458,0.5185185185185185
DB00134,DB04296,0.5185185185185185
DB00134,DB04419,0.5185185185185185
DB00134,DB03364,0.5161290322580645
DB00135,DB03380,0.7142857142857143
DB00135,DB00120,0.7037037037037037
DB00135,DB02556,0.7037037037037037
DB00135,DB03660,0.6896551724137931
DB00135,DB04713,0.6896551724137931
DB00135,DB04639,0.6666666666666666
DB00135,DB01235,0.6451612903225806
DB00135,DB08371,0.625
DB00135,DB03552,0.625
DB00135,DB08617,0.625
DB00136,DB01436,0.819672131147541
DB00136,DB00146,0.7936507936507936
DB00136,DB13097,0.7384615384615385
DB00136,DB05295,0.684931506849315
DB00136,DB03451,0.6666666666666666
DB00136,DB06410,0.6567164179104478
DB00136,DB00169,0.6417910447761194
DB00136,DB04258,0.6388888888888888
DB00136,DB02300,0.6376811594202898
DB00136,DB08742,0.6
DB00138,DB04530,0.7391304347826086
DB00138,DB02361,0.7272727272727273
DB00138,DB02216,0.6666666666666666
DB00138,DB01915,0.6666666666666666
DB00138,DB02761,0.6363636363636364
DB00138,DB03049,0.6363636363636364
DB00138,DB02987,0.5833333333333334
DB00138,DB04339,0.5833333333333334
DB00138,DB01808,0.5833333333333334
DB00138,DB03289,0.5833333333333334
DB00139,DB04560,0.75
DB00139,DB03553,0.6666666666666666
DB00139,DB08845,0.6428571428571429
DB00139,DB02239,0.6428571428571429
DB00139,DB01856,0.6153846153846154
DB00139,DB03688,0.6153846153846154
DB00139,DB07645,0.6153846153846154
DB00139,DB00548,0.6153846153846154
DB00139,DB03107,0.5714285714285714
DB00139,DB03568,0.5714285714285714
DB00140,DB03247,0.7368421052631579
DB00140,DB02332,0.46153846153846156
DB00140,DB03147,0.45652173913043476
DB00140,DB02164,0.4520547945205479
DB00140,DB03482,0.4
DB00140,DB02214,0.3728813559322034
DB00140,DB04262,0.35294117647058826
DB00140,DB03812,0.3013698630136986
DB00140,DB03973,0.3013698630136986
DB00140,DB02290,0.3013698630136986
DB00141,DB00428,0.6052631578947368
DB00141,DB04304,0.3939393939393939
DB00141,DB02399,0.3870967741935484
DB00141,DB03815,0.3870967741935484
DB00141,DB02340,0.38235294117647056
DB00141,DB14528,0.37142857142857144
DB00141,DB14488,0.37142857142857144
DB00141,DB02787,0.3611111111111111
DB00141,DB11195,0.35714285714285715
DB00141,DB02438,0.34210526315789475
DB00142,DB02517,1.0
DB00142,DB03134,0.6956521739130435
DB00142,DB00130,0.6818181818181818
DB00142,DB03091,0.6818181818181818
DB00142,DB02174,0.6818181818181818
DB00142,DB02446,0.6666666666666666
DB00142,DB04296,0.6521739130434783
DB00142,DB03590,0.6190476190476191
DB00142,DB03473,0.5769230769230769
DB00142,DB04422,0.5652173913043478
DB00143,DB03310,0.7317073170731707
DB00143,DB04701,0.7142857142857143
DB00143,DB03408,0.7027027027027027
DB00143,DB04153,0.6976744186046512
DB00143,DB05446,0.6976744186046512
DB00143,DB04700,0.6976744186046512
DB00143,DB03003,0.6976744186046512
DB00143,DB03470,0.6956521739130435
DB00143,DB04132,0.5882352941176471
DB00143,DB03602,0.5882352941176471
DB00144,DB03429,0.7446808510638298
DB00144,DB01966,0.7346938775510204
DB00144,DB01728,0.7346938775510204
DB00144,DB02043,0.7
DB00144,DB04327,0.7
DB00144,DB08376,0.6956521739130435
DB00144,DB04178,0.6730769230769231
DB00144,DB04752,0.6363636363636364
DB00144,DB04683,0.625
DB00144,DB03690,0.603448275862069
DB00145,DB03636,0.5384615384615384
DB00145,DB03107,0.5333333333333333
DB00145,DB00855,0.5294117647058824
DB00145,DB02530,0.47058823529411764
DB00145,DB02175,0.46153846153846156
DB00145,DB03085,0.46153846153846156
DB00145,DB00139,0.46153846153846156
DB00145,DB01762,0.4375
DB00145,DB02649,0.4375
DB00145,DB02198,0.42857142857142855
DB00146,DB00169,0.8166666666666667
DB00146,DB00136,0.7936507936507936
DB00146,DB05295,0.6486486486486487
DB00146,DB01436,0.6417910447761194
DB00146,DB00153,0.6363636363636364
DB00146,DB13097,0.5774647887323944
DB00146,DB03451,0.5256410256410257
DB00146,DB04891,0.5147058823529411
DB00146,DB04796,0.5138888888888888
DB00146,DB06410,0.5068493150684932
DB00147,DB00114,0.6153846153846154
DB00147,DB00165,0.5757575757575758
DB00147,DB11673,0.5277777777777778
DB00147,DB02209,0.4418604651162791
DB00147,DB16554,0.39215686274509803
DB00147,DB02142,0.3695652173913043
DB00147,DB02022,0.3684210526315789
DB00147,DB02824,0.34615384615384615
DB00147,DB01639,0.3404255319148936
DB00147,DB04241,0.33962264150943394
DB00148,DB13191,0.5
DB00148,DB02083,0.4782608695652174
DB00148,DB02490,0.4444444444444444
DB00148,DB02810,0.4230769230769231
DB00148,DB03040,0.391304347826087
DB00148,DB02954,0.34615384615384615
DB00148,DB03709,0.32142857142857145
DB00148,DB02109,0.32142857142857145
DB00148,DB02649,0.32
DB00148,DB01699,0.3103448275862069
DB00149,DB03847,0.6190476190476191
DB00149,DB03425,0.6
DB00149,DB02542,0.6
DB00149,DB03308,0.56
DB00149,DB00128,0.5454545454545454
DB00149,DB02655,0.5454545454545454
DB00149,DB04454,0.5454545454545454
DB00149,DB00174,0.5217391304347826
DB00149,DB02216,0.5
