target,drug,label
Q46704,DB04147,1
Q9NVH6,DB00126,1
Q99571,DB03721,0
Q45135,DB02701,0
Q92918,DB12010,1
P12256,DB02402,0
Q969S2,DB08216,0
P19793,DB07557,1
P35367,DB01224,1
Q06830,DB07122,0
P04958,DB02988,0
P07949,DB03026,0
P26276,DB03663,0
P0AFI2,DB11774,1
P03951,DB03017,0
P80376,DB02787,0
P10828,DB15137,1
Q14012,DB06586,0
Q13547,DB14979,1
O75908,DB16254,1
P0A9B2,DB04655,0
Q99928,DB14028,1
O00555,DB01244,1
P48443,DB00210,1
P14927,DB03615,0
O00408,DB14886,0
P0A006,DB02763,1
P36544,DB06090,1
Q701N4,DB08555,0
Q15059,DB08234,0
P06850,DB00894,0
O14757,DB07213,1
Q8NFD2,DB06903,0
Q16644,DB14575,0
P31644,DB01559,1
P9WIJ3,DB01700,0
O75600,DB14514,0
O00238,DB04126,0
P01709,DB09280,0
Q9L9D7,DB17180,0
Q7Z4J2,DB02379,1
P41143,DB12327,1
P09488,DB07810,0
P09960,DB06828,1
P10613,DB13955,0
P74334,DB13956,0
P0A0N4,DB04209,1
O14594,DB06924,0
P51788,DB00513,0
O95298,DB06554,0
Q8N1Q1,DB07115,1
P50613,DB01652,0
Q8XL08,DB11721,0
P80374,DB00759,0
Q9UEW3,DB07638,0
Q96C86,DB03593,1
Q9NPC1,DB12084,0
Q15746,DB00212,0
O15379,DB06176,1
P07686,DB03861,1
O95259,DB12177,0
P16442,DB04655,0
P15121,DB02007,1
P42679,DB04150,0
P16113,DB08226,0
Q16850,DB06436,0
P29322,DB12010,1
P05364,DB05792,0
O43772,DB00583,1
P42593,DB03698,1
P45452,DB12570,0
O00764,DB04770,1
P34995,DB00770,1
P50052,DB12139,0
P31645,DB05422,1
P29762,DB00755,1
Q6NVY1,DB09286,0
P11229,DB00835,1
P01599,DB01081,0
Q9HAB3,DB12062,0
Q9H4Y5,DB00143,1
P28221,DB00589,1
P04054,DB03587,1
Q15858,DB00555,1
Q8WXS5,DB04660,0
P27797,DB07805,0
P08908,DB00315,1
P03901,DB08366,0
P43681,DB01354,1
P48736,DB08442,0
P05113,DB08070,0
P09960,DB07260,1
P01850,DB02740,1
P0DMS8,DB05511,1
P34903,DB00683,1
O34598,DB03910,0
P10275,DB09123,1
P22894,DB03304,0
Q8N543,DB07573,0
P30926,DB04870,0
Q00987,DB06717,0
P00558,DB07821,0
P31749,DB08073,1
