0,1,2,3,4,5
DB09304,4.0786002131198984e-08,Setiptiline,,CN1CCC2=C(C1)C1=CC=CC=C1CC1=CC=CC=C21,-9.4
DB02264,3.99978148379887e-08,O2-Sulfo-Glucuronic Acid,,[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O,-6.1
DB09288,3.98875776852492e-08,Propacetamol,,CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,-6.6
DB12085,3.954562544095097e-08,LCL-161,,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1C1=NC(=CS1)C(=O)C1=CC=C(F)C=C1,-9.0
DB01589,3.836118978028935e-08,Quazepam,,FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2,-8.5
DB04126,3.8325133289163205e-08,N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-2-Methyl-Butane,,[H][C@](O)(CC(O)=O)C(=O)N[C@@]([H])(CC(C)C)C(=O)NCCC(C)C,-6.4
DB12645,3.7717864387332156e-08,Givinostat,,CCN(CC)CC1=CC=C2C=C(COC(=O)NC3=CC=C(C=C3)C(=O)NO)C=CC2=C1,-9.3
DB12236,3.673529391789998e-08,Bexagliflozin,,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC=C(Cl)C(CC2=CC=C(OCCOC3CC3)C=C2)=C1,-6.5
DB01221,3.530057668399422e-08,Ketamine,,CNC1(CCCCC1=O)C1=CC=CC=C1Cl,-6.6
DB02813,3.5016110899732666e-08,"2-Acetamido-2-Deoxy-D-Glucono-1,5-Lactone",,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1=O,-5.9
DB00189,3.490248801085727e-08,Ethchlorvynol,,CCC(O)(\C=C\Cl)C#C,-5.3
DB00926,3.375388502036003e-08,Etretinate,,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)C(C)=C(OC)C=C1C,-7.8
DB08465,3.2482535772260235e-08,"2-(3-AMINO-2,5,6-TRIMETHOXYPHENYL)ETHYL 5-CHLORO-2,4-DIHYDROXYBENZOATE",,COC1=CC(N)=C(OC)C(CCOC(=O)C2=C(O)C=C(O)C(Cl)=C2)=C1OC,-7.4
DB00306,3.235682655144956e-08,Talbutal,,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-6.1
DB09320,3.2198972377273094e-08,Procaine benzylpenicillin,,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,-6.3
DB04492,3.07067793414717e-08,2-(acetylamino)-2-deoxy-4-O-sulfo-alpha-D-galactopyranose,,[H]N([C@H]1[C@@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O)C(C)=O,-6.7
DB01872,3.058764974639416e-08,2-deoxy-2-acetamido-beta-D-galactose-4-sulfate,,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,-6.2
DB01559,2.976311108682239e-08,Clotiazepam,,CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl,-8.2
DB00661,2.9552339242400194e-08,Verapamil,,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,-5.7
DB03796,2.7966095217379916e-08,Palmitic Acid,,CCCCCCCCCCCCCCCC(O)=O,-5.3
DB00321,2.764671158672627e-08,Amitriptyline,,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,-8.8
