0,1,2,3,4
1,P24941,,,
DB08142,1.0,AT-7519,yes,ClC1=CC=CC(Cl)=C1C(=O)NC1=CNN=C1C(=O)NC1CCNCC1
DB02052,1.0,Indirubin-3'-monoxime,yes,O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=C1C=CC=C2
DB03496,1.0,Alvocidib,yes,CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl
DB05969,0.9999998807907104,SNS-032,yes,CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)C3CCNCC3)S2)O1
DB12021,0.9999998807907104,Dinaciclib,yes,CCC1=C2N=C(C=C(NCC3=CC=C[N+]([O-])=C3)N2N=C1)N1CCCC[C@H]1CCO
DB02733,0.9999998807907104,Purvalanol,yes,[H][C@@](CO)(NC1=NC2=C(N=CN2C(C)C)C(NC2=CC=C(C(O)=O)C(Cl)=C2)=N1)C(C)C
DB07562,0.9999997615814209,"N-[4-(2,4-DIMETHYL-THIAZOL-5-YL)-PYRIMIDIN-2-YL]-N',N'-DIMETHYL-BENZENE-1,4-DIAMINE",yes,CN(C)C1=CC=C(NC2=NC(=CC=N2)C2=C(C)N=C(C)S2)C=C1
DB07533,0.9999997615814209,"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]-2-FURYL}-N-METHYLBENZENESULFONAMIDE",yes,CNS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=C1/SC(=N)NC1=O
DB02950,0.9999997615814209,Hymenialdisine,yes,[H][C@@]12C=C(Br)N=C1C(=O)NCC[C@]2([H])C1=NC(N)=NC1=O
DB07534,0.9999997615814209,"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE",yes,NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=C1/SC(=N)NC1=O
DB08694,0.9999996423721313,Variolin B,yes,NC1=NC=CC(=N1)C1=C2C=CN=C(N)N2C2=NC=CC(O)=C12
DB04751,0.9999996423721313,Purvalanol A,yes,[H][C@@](CO)(NC1=NC(NC2=CC=CC(Cl)=C2)=C2N=CN(C(C)C)C2=N1)C(C)C
DB08248,0.9999995231628418,3-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)-BENZENESULFONAMIDE,yes,NS(=O)(=O)C1=CC=CC(NC2=NC(OCC3CCCCC3)=C3N=CNC3=N2)=C1
DB06195,0.9999995231628418,Seliciclib,yes,CC[C@H](CO)NC1=NC(NCC2=CC=CC=C2)=C2N=CN(C(C)C)C2=N1
DB02538,0.9999994039535522,"N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide",yes,CC(=O)NC1=NC(=CC=N1)C1=C(C)N=C2C=CC=CN12
DB04607,0.9999994039535522,"PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE",yes,NS(=O)(=O)C1=CC=C(NC2=CN3C=C(C=CC3=N2)C(=O)C2=C(Cl)C=CC=C2Cl)C=C1
DB08141,0.9999992847442627,"4-{[(2,6-difluorophenyl)carbonyl]amino}-N-[(3S)-piperidin-3-yl]-1H-pyrazole-3-carboxamide",yes,[H][C@@]1(CCCNC1)NC(=O)C1=NNC=C1NC(=O)C1=C(F)C=CC=C1F
DB04101,0.9999992847442627,"N'-[4-(2,4-Dimethyl-1,3-thiazol-5-yl)-2-pyrimidinyl]-N-hydroxyimidoformamide",yes,CC1=NC(C)=C(S1)C1=NC(\N=C\NO)=NC=C1
