0,1,2,3,4
DB03019,0.9987708926200867,"4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine",yes,NC1=NC=CC(=N1)C1=C(Cl)SC(Cl)=C1
DB02091,0.9986222982406616,"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",yes,CC1=NC(C)=C(S1)C1=NC(N)=NC=C1
DB08707,0.9985517859458923,"4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine",,NC1=NC=CC(=N1)C1=CC2=C(ON=C2C=C1)C1=CC=C(Cl)C=C1
DB08075,0.9984357953071594,"4-(2-amino-1,3-thiazol-4-yl)pyrimidin-2-amine",,NC1=NC(=CS1)C1=NC(N)=NC=C1
DB07534,0.9983183145523071,"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE",yes,NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=C1/SC(=N)NC1=O
DB08178,0.998261034488678,"4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine",yes,COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1
DB07535,0.9981751441955566,2-amino-6-[2-(1H-indol-6-yl)ethyl]pyrimidin-4(3H)-one,,NC1=NC(CCC2=CC3=C(C=CN3)C=C2)=CC(=O)N1
DB02532,0.9979653358459473,"2,4,6-Triaminoquinazoline",,NC1=CC=C2N=C(N)N=C(N)C2=C1
DB01825,0.9978814721107483,2-amino-8-methyl-4(1H)-quinazolinone,,[H]N([H])C1=NC(=O)C2=CC=CC(C)=C2N1[H]
DB03729,0.9978304505348206,2-Amino-1H-benzimidazol-5-ol,,NC1=NC2=C(N1)C=C(O)C=C2
DB02950,0.997697651386261,Hymenialdisine,yes,[H][C@@]12C=C(Br)N=C1C(=O)NCC[C@]2([H])C1=NC(N)=NC1=O
DB06821,0.9974616765975952,Sulfameter,,COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1
DB02568,0.9974567294120789,Peldesine,,NC1=NC(=O)C2=C(N1)C(CC1=CN=CC=C1)=CN2
