0,1,2,3,4,5
DB08707,0.9985517859458924,"4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine",,NC1=NC=CC(=N1)C1=CC2=C(ON=C2C=C1)C1=CC=C(Cl)C=C1,-9.9
DB08075,0.9984357953071594,"4-(2-amino-1,3-thiazol-4-yl)pyrimidin-2-amine",,NC1=NC(=CS1)C1=NC(N)=NC=C1,-6.2
DB07535,0.9981751441955566,2-amino-6-[2-(1H-indol-6-yl)ethyl]pyrimidin-4(3H)-one,,NC1=NC(CCC2=CC3=C(C=CN3)C=C2)=CC(=O)N1,-8.4
DB02532,0.9979653358459472,"2,4,6-Triaminoquinazoline",,NC1=CC=C2N=C(N)N=C(N)C2=C1,-6.7
DB01825,0.9978814721107484,2-amino-8-methyl-4(1H)-quinazolinone,,[H]N([H])C1=NC(=O)C2=CC=CC(C)=C2N1[H],-7.5
DB03729,0.9978304505348206,2-Amino-1H-benzimidazol-5-ol,,NC1=NC2=C(N1)C=C(O)C=C2,-6.2
DB06821,0.9974616765975952,Sulfameter,,COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,-8.1
DB02568,0.9974567294120787,Peldesine,,NC1=NC(=O)C2=C(N1)C(CC1=CN=CC=C1)=CN2,-7.7
DB07292,0.997307062149048,"4-(2-amino-1,3-thiazol-4-yl)phenol",,NC1=NC(=CS1)C1=CC=C(O)C=C1,-6.9
DB08314,0.9969684481620787,"(2-AMINO-1,3-OXAZOL-5-YL)-(3-BROMOPHENYL)METHANONE",,NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,-7.3
DB11919,0.9969281554222108,6-O-benzylguanine,,NC1=NC(OCC2=CC=CC=C2)=C2N=CNC2=N1,-8.1
DB00440,0.9969269633293152,Trimethoprim,,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,-7.7
DB12912,0.9968857169151306,Nolatrexed,,CC1=CC=C2N=C(N)NC(=O)C2=C1SC1=CC=NC=C1,-8.3
DB04168,0.9968728423118592,Bropirimine,,NC1=NC(=O)C(Br)=C(N1)C1=CC=CC=C1,-7.6
DB16192,0.9968256950378418,Imaradenant,,CC1=NC(Cl)=CC(=C1)C1=NN=C(N)N=C1C1=CC=C(F)C=C1,-9.3
DB02402,0.9967532753944396,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",,COC1=CC=C(OC2=CC=CC3=NC(N)=NC(N)=C23)C=C1,-8.1
DB04306,0.9967436790466307,"5-[(4-Methylphenyl)Sulfanyl]-2,4-Quinazolinediamine",,CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,-8.4
DB07311,0.9967404007911682,"18-CHLORO-11,12,13,14-TETRAHYDRO-1H,10H-8,4-(AZENO)-9,15,1,3,6-BENZODIOXATRIAZACYCLOHEPTADECIN-2-ONE",,ClC1=CC2=C(OCCCCCOC3=CN=CC(NC(=O)N2)=N3)C=C1,-8.5
DB00740,0.996733546257019,Riluzole,,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,-6.9
DB15097,0.9967188239097596,Gefapixant,,COC1=C(C=C(OC2=CN=C(N)N=C2N)C(=C1)C(C)C)S(N)(=O)=O,-7.8
DB08667,0.996713399887085,4-(4-fluoro-phenylazo)-5-imino-5H-pyrazol-3-ylamine,,FC1=CC=C(NN=C2C(=N)N=NC2=N)C=C1,-7.9
DB01788,0.9966752529144288,4-Imino-5-Methidyl-2-Methylpyrimidine,,CC1=NC(=N)C(=C)C=N1,-5.3
DB01581,0.9966118931770324,Sulfamerazine,,CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1,-8.0
DB08786,0.9965999722480774,4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine,,COCCOC1=NC(N)=NC(C)=C1,-5.5
DB03780,0.9965142607688904,2-Aminoquinazolin-4(3h)-One,,NC1=NC2=CC=CC=C2C(=O)N1,-7.2
DB08114,0.996485710144043,"5-benzyl-1,3-thiazol-2-amine",,NC1=NC=C(CC2=CC=CC=C2)S1,-6.6
DB07319,0.996444046497345,"6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE",,NC1=NC(=NC(N)=N1)C1=CC2=CC=CC=C2C=C1Br,-9.3
DB08194,0.996046245098114,"4-methyl-7,8-dihydro-5H-thiopyrano[4,3-d]pyrimidin-2-amine",,CC1=NC(N)=NC2=C1CSCC2,-5.9
DB03125,0.9960364699363708,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",,COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OC)=C1OC,-7.2
DB01582,0.996013879776001,Sulfamethazine,,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,-8.1
DB01299,0.9960135221481324,Sulfadoxine,,COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1OC,-7.6
DB04655,0.996000349521637,Metoprine,,CC1=C(C(N)=NC(N)=N1)C1=CC(Cl)=C(Cl)C=C1,-7.8
