group,value
w/ calibration,-7.7
w/ calibration,-8.6
w/ calibration,-8.0
w/ calibration,-9.3
w/ calibration,-9.0
w/ calibration,-8.5
w/ calibration,-7.9
w/ calibration,-8.7
w/ calibration,-7.6
w/ calibration,-7.3
w/ calibration,-6.8
w/ calibration,-9.6
w/ calibration,-6.9
w/ calibration,-9.3
w/ calibration,-6.3
w/ calibration,-7.2
w/ calibration,-8.5
w/ calibration,-7.6
w/ calibration,-8.0
w/ calibration,-8.7
w/ calibration,-7.4
w/ calibration,-7.1
w/ calibration,-8.9
w/ calibration,-7.7
w/ calibration,-10.0
w/ calibration,-7.6
w/ calibration,-8.2
w/ calibration,-6.9
w/ calibration,-8.2
w/ calibration,-9.9
w/ calibration,-9.2
w/ calibration,-8.0
w/ calibration,-7.4
w/ calibration,-8.5
w/ calibration,-7.4
w/ calibration,-10.1
w/ calibration,-6.4
w/ calibration,-7.2
w/ calibration,-9.0
w/ calibration,-9.7
w/ calibration,-9.6
w/ calibration,-9.4
w/ calibration,-7.8
w/ calibration,-7.1
w/ calibration,-10.9
w/ calibration,-7.9
w/ calibration,-8.5
w/ calibration,-6.5
w/ calibration,-7.7
w/ calibration,-6.3
w/ calibration,-6.9
w/ calibration,-9.7
w/ calibration,-7.0
w/ calibration,-7.0
w/ calibration,-7.2
w/ calibration,-9.3
w/ calibration,-8.5
w/ calibration,-9.4
w/ calibration,-9.6
w/ calibration,-8.1
w/ calibration,-8.9
w/ calibration,-6.2
w/ calibration,-7.7
w/ calibration,-7.7
w/ calibration,-8.5
w/ calibration,-9.9
w/ calibration,-9.8
w/ calibration,-6.7
w/ calibration,-7.6
w/ calibration,-9.5
w/ calibration,-9.9
w/ calibration,-8.5
w/ calibration,-6.6
w/ calibration,-10.4
w/ calibration,-7.1
w/ calibration,-8.5
w/ calibration,-6.9
w/ calibration,-8.8
w/ calibration,-7.2
w/o calibration,-6.9
w/o calibration,-6.5
w/o calibration,-6.7
w/o calibration,-5.8
w/o calibration,-6.8
w/o calibration,-6.6
w/o calibration,-6.6
w/o calibration,-6.2
w/o calibration,-6.7
w/o calibration,-7.6
w/o calibration,-7.3
w/o calibration,-6.1
w/o calibration,-6.7
w/o calibration,-6.6
w/o calibration,-7.7
w/o calibration,-7.4
w/o calibration,-7.4
w/o calibration,-6.2
w/o calibration,-6.5
w/o calibration,-6.2
w/o calibration,-7.1
w/o calibration,-6.8
w/o calibration,-8.9
w/o calibration,-8.8
w/o calibration,-7.2
w/o calibration,-7.4
w/o calibration,-7.0
w/o calibration,-6.2
w/o calibration,-7.7
w/o calibration,-8.5
w/o calibration,-8.9
w/o calibration,-8.5
w/o calibration,-7.7
w/o calibration,-7.0
w/o calibration,-6.3
w/o calibration,-6.2
w/o calibration,-9.8
w/o calibration,-6.9
w/o calibration,-8.0
w/o calibration,-7.6
w/o calibration,-6.6
w/o calibration,-9.6
w/o calibration,-6.7
w/o calibration,-6.4
w/o calibration,-7.8
w/o calibration,-7.9
w/o calibration,-8.6
w/o calibration,-6.6
w/o calibration,-9.8
w/o calibration,-7.2
w/o calibration,-6.9
w/o calibration,-9.3
w/o calibration,-10.8
w/o calibration,-6.7
w/o calibration,-7.9
w/o calibration,-7.6
w/o calibration,-5.5
w/o calibration,-7.5
w/o calibration,-9.2
w/o calibration,-8.3
w/o calibration,-5.5
w/o calibration,-8.1
w/o calibration,-7.0
w/o calibration,-7.6
w/o calibration,-6.4
w/o calibration,-6.7
w/o calibration,-7.3
w/o calibration,-8.3
w/o calibration,-9.0
w/o calibration,-6.4
w/o calibration,-9.3
w/o calibration,-7.0
w/o calibration,-5.9
w/o calibration,-7.2
w/o calibration,-9.0
w/o calibration,-7.4
w/o calibration,-7.6
w/o calibration,-8.9
w/o calibration,-5.7
w/o calibration,-8.1
w/o calibration,-6.9
w/o calibration,-6.0
w/o calibration,-6.2
w/o calibration,-6.3
w/o calibration,-6.1
w/o calibration,-7.5
