0,1,2,3,4,5
DB06235,3.1062279504112666e-06,Vadimezan,,CC1=C(C)C2=C(C=C1)C(=O)C1=CC=CC(CC(O)=O)=C1O2,-11.1
DB03846,3.1017284527479205e-06,2'-deoxy-5-(hydroxymethyl)uridine 5'-(dihydrogen phosphate),,[H]N1C(=O)N(C=C(CO)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,-8.4
DB08296,3.0824194254819304e-06,5-(PARA-NITROPHENYL PHOSPHONATE)-PENTANOIC ACID,,OC(=O)CCCC[P@]([O-])(=O)OC1=CC=C(C=C1)[N+]([O-])=O,-7.7
DB03569,3.0345040613610763e-06,"4,5-Dehydro-L-Iduronic Acid",,[H][C@@]1(O)OC(C(O)=O)=C(O)[C@]([H])(O)[C@@]1([H])O,-6.6
DB03510,3.027866796401213e-06,6-O-Phosphoryl Inosine Monophosphate,,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=CN=C3OP(O)(O)=O)[C@]([H])(O)[C@]1([H])O,-8.7
DB01677,2.996172270286479e-06,Fumaric Acid,,OC(=O)\C=C\C(O)=O,-4.9
DB02007,2.6612119654600974e-06,alpha-D-glucose 6-phosphate,,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,-6.4
DB08185,2.5942974843928823e-06,2-METHYLTHIO-N6-ISOPENTENYL-ADENOSINE-5'-MONOPHOSPHATE,,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=C(SC)N=C3NCCC(C)C)[C@]([H])(O)[C@]1([H])O,-7.1
DB03042,2.5666638521215646e-06,5-Phosphoarabinonic Acid,,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(O)=O,-5.8
DB02594,2.5200251911883242e-06,2'-Deoxycytidine,,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,-7.4
DB04066,2.481055162206758e-06,p-Coumaric acid,,OC(=O)\C=C\C1=CC=C(O)C=C1,-6.8
DB00359,2.479179784131702e-06,Sulfadiazine,,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,-8.0
DB07780,2.3327863800659543e-06,Farnesyl diphosphate,,CC(C)=CCC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O,-7.7
DB02620,2.3167924609879265e-06,3-(4-{2-[2-(2-bromo-acetylamino)-ethyldisulfanyl]-ethylcarbamoyl}-cyclohexylcarbamoyl)-pyrazine-2-carboxylic acid,,CC(=O)NCCSSCCNC(=O)C1CCC(CC1)NC(=O)C1=NC=CN=C1C(O)=O,-7.2
DB00491,2.3086010969564086e-06,Miglitol,,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,-6.1
DB03206,2.303729388586362e-06,Duvoglustat,,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,-5.6
DB04566,2.2226363398658577e-06,Inosinic Acid,,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,-9.0
DB00242,2.2166564122017007e-06,Cladribine,,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,-7.9
DB07303,2.1772100353700807e-06,"N~3~-[3-(5-METHOXYPYRIDIN-3-YL)BENZYL]PYRIDINE-2,3-DIAMINE",,COC1=CN=CC(=C1)C1=CC(CNC2=CC=CN=C2N)=CC=C1,-9.9
DB06951,2.1633181859215256e-06,(3R)-3-ethyl-N-[(4-methylphenyl)sulfonyl]-L-aspartic acid,,[H][C@](CC)(C(O)=O)[C@]([H])(NS(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,-8.3
DB01299,2.1296937120496295e-06,Sulfadoxine,,COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1OC,-6.3
DB01632,2.0646014036174165e-06,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,-7.2
DB12852,1.9958331449743127e-06,MK-0752,,OC(=O)CC[C@H]1CC[C@@](CC1)(C1=C(F)C=CC(F)=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,-7.4
DB01942,1.9680751393025275e-06,Formic acid,,[H]C(O)=O,-3.0
DB03685,1.876098053799069e-06,Uridine monophosphate,,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,-8.8
DB08594,1.867038122327358e-06,TERT-BUTYL 2-CYANO-2-METHYLHYDRAZINECARBOXYLATE,,CN(NC(=O)OC(C)(C)C)C#N,-5.6
DB03000,1.853772232607298e-06,S-9-(2-hydroxypropyl)adenine,,[H][C@@](C)(O)CN1C=NC2=C(N)N=CN=C12,-6.5
DB02552,1.7281270174862584e-06,Geranyl Diphosphate,,CC(C)=CCC\C(C)=C\CO[P@@](=O)(O)OP(=O)(O)O,-7.4
DB07281,1.6315798347932287e-06,"N~3~-BENZYLPYRIDINE-2,3-DIAMINE",,NC1=NC=CC=C1NCC1=CC=CC=C1,-8.0
DB07284,1.5611822163918987e-06,"N~3~-(3-PYRIDIN-3-YLBENZYL)PYRIDINE-2,3-DIAMINE",,NC1=NC=CC=C1NCC1=CC=CC(=C1)C1=CN=CC=C1,-9.7
DB00720,1.4906752312526805e-06,Clodronic acid,,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,-5.3
DB01582,1.4062256923352834e-06,Sulfamethazine,,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,-8.7
DB06819,1.3860993703929125e-06,Phenylbutyric acid,,OC(=O)CCCC1=CC=CC=C1,-7.1
DB00795,1.354133928543888e-06,Sulfasalazine,,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,-7.7
