0,1,2,3,4,5
DB06701,0.9961304664611816,Dexmethylphenidate,yes,[H][C@@](C(=O)OC)(C1=CC=CC=C1)[C@@]1([H])CCCCN1,-7.7
DB09185,0.9959604144096375,Viloxazine,,CCOC1=CC=CC=C1OCC1CNCCO1,-7.8
DB08918,0.9948698282241821,Levomilnacipran,yes,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1,-7.8
DB01463,0.9948480129241943,Fencamfamin,,CCNC1C2CCC(C2)C1C1=CC=CC=C1,-8.6
DB04821,0.9942750334739685,Nomifensine,yes,CN1CC(C2=CC=CC=C2)C2=C(C1)C(N)=CC=C2,-8.8
DB00472,0.9942460656166077,Fluoxetine,yes,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,-8.9
DB00245,0.9942284822463989,Benzatropine,yes,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,-8.7
DB00344,0.9938773512840271,Protriptyline,yes,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,-8.9
DB00422,0.9928852915763855,Methylphenidate,,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,-8.1
DB09186,0.9926537275314331,Nisoxetine,yes,CNCCC(OC1=CC=CC=C1OC)C1=CC=CC=C1,-8.6
DB01074,0.9923214316368103,Perhexiline,,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,-9.4
DB12071,0.9923011064529419,Vabicaserin,,C1C[C@H]2CN3CCNCC4=C3C(=CC=C4)[C@H]2C1,-9.0
DB00280,0.9895134568214417,Disopyramide,,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,-9.4
DB01104,0.9891814589500427,Sertraline,yes,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12,-10.1
DB06446,0.9889500737190247,Dotarizine,,C(CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)CC1(OCCO1)C1=CC=CC=C1,-8.8
DB00321,0.9887920022010803,Amitriptyline,yes,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,-9.1
DB04889,0.9885474443435669,Bicifadine,yes,CC1=CC=C(C=C1)C12CC1CNC2,-7.9
DB00476,0.9885164499282837,Duloxetine,yes,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,-8.9
DB13810,0.9885048270225525,Dimemorfan,,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC1=CC=C(C)C=C31,-9.2
DB08927,0.9878917932510376,Amperozide,,[H]N(CC)C(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1,-8.7
DB11584,0.9878701567649841,Pipradrol,,[H]N1CCCCC1C(O)(C1=CC=CC=C1)C1=CC=CC=C1,-9.2
DB00830,0.9877116084098816,Phenmetrazine,,CC1NCCOC1C1=CC=CC=C1,-6.8
DB00234,0.9876762628555298,Reboxetine,,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,-9.7
DB00937,0.9875180125236511,Diethylpropion,yes,CCN(CC)C(C)C(=O)C1=CC=CC=C1,-7.0
DB08980,0.9873457551002502,Fendiline,,CC(NCCC(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-9.8
DB00934,0.9872315526008606,Maprotiline,,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,-9.2
