0,1,2,3,4
1,P31645,,,
DB09069,0.9986623525619507,Trimetazidine,,COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1
DB00368,0.9986550807952881,Norepinephrine,,NC[C@H](O)C1=CC(O)=C(O)C=C1
DB07129,0.9985711574554443,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",,[H][C@](C)(N)COC1=C(C)C=CC=C1C
DB09185,0.9985646605491638,Viloxazine,,CCOC1=CC=CC=C1OCC1CNCCO1
DB06707,0.9985571503639221,Levonordefrin,,C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1
DB00234,0.9984495639801025,Reboxetine,,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB00379,0.9984421133995056,Mexiletine,,CC(N)COC1=C(C)C=CC=C1C
DB00388,0.9984315037727356,Phenylephrine,,CNC[C@H](O)C1=CC(O)=CC=C1
DB00610,0.9984002709388733,Metaraminol,,C[C@H](N)[C@H](O)C1=CC(O)=CC=C1
DB13251,0.9983986020088196,Octopamine,,NCC(O)C1=CC=C(O)C=C1
DB00715,0.9983853101730347,Paroxetine,yes,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
DB01442,0.9983766078948975,MMDA,yes,COC1=CC(CC(C)N)=CC2=C1OCO2
DB01364,0.9983698725700378,Ephedrine,,CN[C@@H](C)[C@H](O)C1=CC=CC=C1
DB01509,0.9983592629432678,Tenamfetamine,yes,CC(N)CC1=CC2=C(OCO2)C=C1
DB01465,0.9983242154121399,"2,5-Dimethoxyamphetamine",,COC1=CC(CC(C)N)=C(OC)C=C1
DB04871,0.9983190894126892,Lorcaserin,,C[C@H]1CNCCC2=CC=C(Cl)C=C12
DB01528,0.9982998967170715,"4-Methyl-2,5-dimethoxyamphetamine",,COC1=CC(CC(C)N)=C(OC)C=C1C
DB01576,0.9982938170433044,Dextroamphetamine,,C[C@H](N)CC1=CC=CC=C1
DB00668,0.9982886910438538,Epinephrine,,CNC[C@H](O)C1=CC(O)=C(O)C=C1
DB00852,0.9982861876487732,Pseudoephedrine,yes,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DB09203,0.9982763528823853,Synephrine,,CNCC(O)C1=CC=C(O)C=C1
DB08530,0.998259961605072,"7-BENZYL-1,3-DIMETHYL-8-PIPERAZIN-1-YL-3,7-DIHYDRO-PURINE-2,6-DIONE",,CN1C2=C(N(CC3=CC=CC=C3)C(=N2)N2CC[NH2+]CC2)C(=O)N(C)C1=O
DB00182,0.9982193112373352,Amphetamine,yes,CC(N)CC1=CC=CC=C1
DB12395,0.9981903433799744,Esreboxetine,,[H][C@]1(CNCCO1)[C@@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB01472,0.9981876015663147,4-Methoxyamphetamine,yes,COC1=CC=C(CC(C)N)C=C1
DB06262,0.9981350898742676,Droxidopa,,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
DB01467,0.9981014132499695,"2,5-Dimethoxy-4-ethylamphetamine",,CCC1=CC(OC)=C(CC(C)N)C=C1OC
DB00752,0.9980893731117249,Tranylcypromine,,NC1CC1C1=CC=CC=C1
DB15348,0.998084306716919,Ampreloxetine,yes,FC1=CC(F)=C(OCC2=CC=CC=C2C2CCNCC2)C(F)=C1
DB09352,0.9980027079582214,Hydroxyamphetamine,,CC(N)CC1=CC=C(O)C=C1
DB19083,0.9979591369628906,,,
DB00397,0.9979549646377563,Phenylpropanolamine,,CC(N)C(O)C1=CC=CC=C1
DB06731,0.9979169964790344,Seproxetine,yes,NCC[C@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
DB13940,0.997913658618927,"2,5-Dimethoxy-4-ethylthioamphetamine",,CCSC1=CC(OC)=C(CC(C)N)C=C1OC
DB00830,0.9978910088539124,Phenmetrazine,,CC1NCCOC1C1=CC=CC=C1
DB08472,0.9978760480880737,(R)-Fluoxetine,,CNCC[C@@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
DB08544,0.9978504180908203,(S)-Fluoxetine,,CNCC[C@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
DB08550,0.9978419542312622,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",,ClC1=CC=C2CCNCC2=C1Cl
DB06701,0.997837245464325,Dexmethylphenidate,yes,[H][C@@](C(=O)OC)(C1=CC=CC=C1)[C@@]1([H])CCCCN1
DB00289,0.9978299736976624,Atomoxetine,yes,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
DB01221,0.9978232383728027,Ketamine,,CNC1(CCCCC1=O)C1=CC=CC=C1Cl
DB06204,0.9978148937225342,Tapentadol,yes,CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1
DB01484,0.9977860450744629,"4-Bromo-2,5-dimethoxyamphetamine",,COC1=CC(Br)=C(OC)C=C1CC(C)N
DB15665,0.9977664947509766,SEP-363856,,CNC[C@@H]1OCCC2=C1SC=C2
DB12883,0.9977622032165527,Eltoprazine,,C1CN(CCN1)C1=C2OCCOC2=CC=C1
DB08128,0.99775630235672,"(1S,4R,9S)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",,[H][C@]12CC[C@]([H])(C3=C(C=CC=C13)C(F)(F)F)[C@@]2([H])N
DB12244,0.99769127368927,CP-601927,,FC(F)(F)C1=CC2=C(C=C1)[C@H]1C[C@@H]2CNC1
DB07860,0.9976660013198853,(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE,,[H][C@@](CN)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
DB16967,0.9976254105567932,,,
DB04273,0.9976252913475037,"8,9-Dichloro-2,3,4,5-Tetrahydro-1h-Benzo[C]Azepine",,ClC1=CC=C2CCCNCC2=C1Cl
DB08685,0.9976056814193726,"1-(1,4-dimethyl-1,2,3,4-tetrahydroquinoxalin-6-yl)methanamine",,CN1CCN(C)C2=CC(CN)=CC=C12
DB00193,0.9975759387016296,Tramadol,yes,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
DB04889,0.9975723624229431,Bicifadine,yes,CC1=CC=C(C=C1)C12CC1CNC2
DB01199,0.9975676536560059,Tubocurarine,,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CCN1C)C2=C6)=C(O)C=C5)=CC(OC)=C4O)C=C3
DB00674,0.9975647926330566,Galantamine,,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3
DB01104,0.9975537657737732,Sertraline,yes,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
DB01191,0.9975536465644836,Dexfenfluramine,yes,CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F
DB08071,0.9975429773330688,"(2S)-1-methyl-2-[(2S,4R)-2-methyl-4-phenylpentyl]piperidine",,[H][C@](C)(C[C@@]([H])(C)C1=CC=CC=C1)C[C@]1([H])CCCCN1C
DB01556,0.9975125789642334,Chlorphentermine,yes,CC(C)(N)CC1=CC=C(Cl)C=C1
DB01158,0.9974930286407471,Bretylium,,CC[N+](C)(C)CC1=CC=CC=C1Br
DB11587,0.9974881410598755,Etafedrine,,CCN(C)[C@@H](C)[C@H](O)C1=CC=CC=C1
DB05805,0.9974679946899414,NS-2359,yes,COC[C@H]1[C@H]2CC[C@@H](C[C@@H]1C1=CC(Cl)=C(Cl)C=C1)N2C
DB00285,0.9974679946899414,Venlafaxine,yes,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
DB01454,0.9974645376205444,Midomafetamine,yes,CNC(C)CC1=CC2=C(OCO2)C=C1
DB00476,0.9974597096443176,Duloxetine,yes,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
DB09196,0.9974526762962341,Lubazodone,yes,[H]N1CCO[C@H](COC2=C3CCCC3=C(F)C=C2)C1
DB07851,0.9974410533905029,"(3R,4S)-1-(3,4-DIMETHOXYPHENYL)-3-(3-METHYLPHENYL)PIPERIDIN-4-AMINE",,[H][C@]1(N)CCN(C[C@@]1([H])C1=CC(C)=CC=C1)C1=CC(OC)=C(OC)C=C1
DB06704,0.9974324107170105,Iobenguane,,NC(N)=NCC1=CC(I)=CC=C1
DB11823,0.9974242448806763,Esketamine,,CN[C@@]1(CCCCC1=O)C1=CC=CC=C1Cl
DB09028,0.9973739385604858,Cytisine,,O=C1C=CC=C2[C@H]3CNC[C@H](C3)CN12
DB01537,0.9973737001419067,"4-Bromo-2,5-dimethoxyphenethylamine",,COC1=CC(Br)=C(OC)C=C1CCN
DB06152,0.9973684549331665,Nylidrin,,CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1
DB00574,0.9973587393760681,Fenfluramine,yes,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F
DB04857,0.9973257780075073,Brasofensine,yes,[H][C@@]12CC[C@@]([H])(N1C)[C@]([H])(\C=N\OC)[C@H](C2)C1=CC(Cl)=C(Cl)C=C1
DB01577,0.9973177313804626,Metamfetamine,yes,CN[C@@H](C)CC1=CC=CC=C1
DB06156,0.997314989566803,Tesofensine,yes,CCOC[C@H]1[C@H]2CC[C@@H](C[C@@H]1C1=CC(Cl)=C(Cl)C=C1)N2C
DB00747,0.9972935318946838,Scopolamine,,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1
DB00723,0.9972934126853943,Methoxamine,,COC1=CC(C(O)C(C)N)=C(OC)C=C1
DB02665,0.9972766041755676,"(1R,2S)-2-Phenylcyclopropanaminium",,[NH3+][C@@H]1C[C@H]1C1=CC=CC=C1
DB13550,0.9972571730613708,Bifemelane,,CNCCCCOC1=CC=CC=C1CC1=CC=CC=C1
DB16623,0.9972534775733948,,,
DB01105,0.9972488284111023,Sibutramine,yes,CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1
DB12704,0.9972487092018127,Spiradoline,,[H][C@@]1(CC[C@@]2(CCCO2)C[C@]1([H])N1CCCC1)N(C)C(=O)CC1=CC(Cl)=C(Cl)C=C1
DB11785,0.9972376823425293,Anisodamine,,CN1[C@@H]2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
DB06618,0.9972375631332397,Cutamesine,,COC1=C(OC)C=C(CCN2CCN(CCCC3=CC=CC=C3)CC2)C=C1
DB05137,0.997232973575592,Lobeline,,CN1[C@H](C[C@H](O)C2=CC=CC=C2)CCC[C@@H]1CC(=O)C1=CC=CC=C1
DB12110,0.9972321391105652,m-Chlorophenylpiperazine,,ClC1=CC(=CC=C1)N1CCNCC1
DB00192,0.9972248077392578,Indecainide,,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB11584,0.9972050786018372,Pipradrol,,[H]N1CCCCC1C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DB12890,0.9971997737884521,Dihydrexidine,,OC1=C(O)C=C2[C@H]3[C@H](CCC2=C1)NCC1=CC=CC=C31
DB11278,0.9971848130226135,DL-Methylephedrine,,C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C
