0,1,2,3,4,5
DB09069,0.9986623525619507,Trimetazidine,,COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1,-6.9
DB00368,0.9986550807952881,Norepinephrine,,NC[C@H](O)C1=CC(O)=C(O)C=C1,-6.5
DB07129,0.9985711574554443,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",,[H][C@](C)(N)COC1=C(C)C=CC=C1C,-6.7
DB09185,0.9985646605491638,Viloxazine,,CCOC1=CC=CC=C1OCC1CNCCO1,-5.8
DB00234,0.9984495639801025,Reboxetine,,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,-6.8
DB00379,0.9984421133995056,Mexiletine,,CC(N)COC1=C(C)C=CC=C1C,-6.6
DB00388,0.9984315037727356,Phenylephrine,,CNC[C@H](O)C1=CC(O)=CC=C1,-6.6
DB13251,0.9983986020088196,Octopamine,,NCC(O)C1=CC=C(O)C=C1,-6.2
DB01465,0.9983242154121399,"2,5-Dimethoxyamphetamine",,COC1=CC(CC(C)N)=C(OC)C=C1,-6.7
DB04871,0.9983190894126892,Lorcaserin,,C[C@H]1CNCCC2=CC=C(Cl)C=C12,-7.6
DB01528,0.9982998967170715,"4-Methyl-2,5-dimethoxyamphetamine",,COC1=CC(CC(C)N)=C(OC)C=C1C,-7.3
DB01576,0.9982938170433044,Dextroamphetamine,,C[C@H](N)CC1=CC=CC=C1,-6.1
DB00668,0.9982886910438538,Epinephrine,,CNC[C@H](O)C1=CC(O)=C(O)C=C1,-6.7
DB09203,0.9982763528823853,Synephrine,,CNCC(O)C1=CC=C(O)C=C1,-6.6
DB08530,0.998259961605072,"7-BENZYL-1,3-DIMETHYL-8-PIPERAZIN-1-YL-3,7-DIHYDRO-PURINE-2,6-DIONE",,CN1C2=C(N(CC3=CC=CC=C3)C(=N2)N2CC[NH2+]CC2)C(=O)N(C)C1=O,-7.7
DB06262,0.9981350898742676,Droxidopa,,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O,-7.4
DB01467,0.9981014132499695,"2,5-Dimethoxy-4-ethylamphetamine",,CCC1=CC(OC)=C(CC(C)N)C=C1OC,-7.4
DB00752,0.9980893731117249,Tranylcypromine,,NC1CC1C1=CC=CC=C1,-6.2
DB09352,0.9980027079582214,Hydroxyamphetamine,,CC(N)CC1=CC=C(O)C=C1,-6.5
DB00397,0.9979549646377563,Phenylpropanolamine,,CC(N)C(O)C1=CC=CC=C1,-6.2
DB13940,0.997913658618927,"2,5-Dimethoxy-4-ethylthioamphetamine",,CCSC1=CC(OC)=C(CC(C)N)C=C1OC,-7.1
DB00830,0.9978910088539124,Phenmetrazine,,CC1NCCOC1C1=CC=CC=C1,-6.8
DB08472,0.9978760480880737,(R)-Fluoxetine,,CNCC[C@@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,-8.9
DB08544,0.9978504180908203,(S)-Fluoxetine,,CNCC[C@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,-8.8
DB08550,0.9978419542312622,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",,ClC1=CC=C2CCNCC2=C1Cl,-7.2
DB01221,0.9978232383728027,Ketamine,,CNC1(CCCCC1=O)C1=CC=CC=C1Cl,-7.4
DB01484,0.9977860450744629,"4-Bromo-2,5-dimethoxyamphetamine",,COC1=CC(Br)=C(OC)C=C1CC(C)N,-7.0
DB15665,0.9977664947509766,SEP-363856,,CNC[C@@H]1OCCC2=C1SC=C2,-6.2
DB12883,0.9977622032165527,Eltoprazine,,C1CN(CCN1)C1=C2OCCOC2=CC=C1,-7.7
DB08128,0.99775630235672,"(1S,4R,9S)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",,[H][C@]12CC[C@]([H])(C3=C(C=CC=C13)C(F)(F)F)[C@@]2([H])N,-8.5
DB12244,0.99769127368927,CP-601927,,FC(F)(F)C1=CC2=C(C=C1)[C@H]1C[C@@H]2CNC1,-8.9
DB07860,0.9976660013198853,(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE,,[H][C@@](CN)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,-8.5
DB04273,0.9976252913475037,"8,9-Dichloro-2,3,4,5-Tetrahydro-1h-Benzo[C]Azepine",,ClC1=CC=C2CCCNCC2=C1Cl,-7.7
DB08685,0.9976056814193726,"1-(1,4-dimethyl-1,2,3,4-tetrahydroquinoxalin-6-yl)methanamine",,CN1CCN(C)C2=CC(CN)=CC=C12,-7.0
DB08071,0.9975429773330688,"(2S)-1-methyl-2-[(2S,4R)-2-methyl-4-phenylpentyl]piperidine",,[H][C@](C)(C[C@@]([H])(C)C1=CC=CC=C1)C[C@]1([H])CCCCN1C,-6.3
DB01158,0.9974930286407471,Bretylium,,CC[N+](C)(C)CC1=CC=CC=C1Br,-6.2
DB07851,0.9974410533905029,"(3R,4S)-1-(3,4-DIMETHOXYPHENYL)-3-(3-METHYLPHENYL)PIPERIDIN-4-AMINE",,[H][C@]1(N)CCN(C[C@@]1([H])C1=CC(C)=CC=C1)C1=CC(OC)=C(OC)C=C1,-9.8
DB06704,0.9974324107170105,Iobenguane,,NC(N)=NCC1=CC(I)=CC=C1,-6.9
DB11823,0.9974242448806763,Esketamine,,CN[C@@]1(CCCCC1=O)C1=CC=CC=C1Cl,-8.0
DB09028,0.9973739385604858,Cytisine,,O=C1C=CC=C2[C@H]3CNC[C@H](C3)CN12,-7.6
DB01537,0.9973737001419067,"4-Bromo-2,5-dimethoxyphenethylamine",,COC1=CC(Br)=C(OC)C=C1CCN,-6.6
DB06152,0.9973684549331665,Nylidrin,,CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1,-9.6
DB00723,0.9972934126853943,Methoxamine,,COC1=CC(C(O)C(C)N)=C(OC)C=C1,-6.7
DB02665,0.9972766041755676,"(1R,2S)-2-Phenylcyclopropanaminium",,[NH3+][C@@H]1C[C@H]1C1=CC=CC=C1,-6.4
DB13550,0.9972571730613708,Bifemelane,,CNCCCCOC1=CC=CC=C1CC1=CC=CC=C1,-7.8
