query_protein,similar_protein,similarity
A0A023W3H0,O34667,0.9565415
A0A023W3H0,P17596,0.9509831
A0A023W3H0,Q8AAK6,0.95016885
A0A023W3H0,O67987,0.9498395
A0A023W3H0,P06864,0.9497494
A0A023W3H0,P17412,0.9494815
A0A023W3H0,P16099,0.94939435
A0A023W3H0,P12256,0.9492185
A0A023W3H0,Q9I596,0.94873154
A0A023W3H0,O75936,0.94763124
A0A024R8I1,Q00975,0.9743539
A0A024R8I1,O00555,0.95069563
A0A024R8I1,O60840,0.9448382
A0A024R8I1,Q13936,0.9386908
A0A024R8I1,P51788,0.93672335
A0A024R8I1,P48547,0.9336598
A0A024R8I1,P51787,0.932678
A0A024R8I1,P56696,0.9325365
A0A024R8I1,Q01668,0.9323383
A0A024R8I1,Q9UL51,0.93137497
A0A045ISQ8,A0A045KKX4,0.95524853
A0A045ISQ8,Q5SJ79,0.9325905
A0A045ISQ8,P0A8Q3,0.9291127
A0A045ISQ8,P11350,0.92893493
A0A045ISQ8,Q15125,0.9281384
A0A045ISQ8,Q146M9,0.9237692
A0A045ISQ8,P0A334,0.92355216
A0A045ISQ8,P0A333,0.92355216
A0A045ISQ8,P60063,0.9180865
A0A045ISQ8,P0A6M2,0.9169152
A0A045KKX4,A0A045ISQ8,0.95524853
A0A045KKX4,Q02761,0.9525826
A0A045KKX4,P11350,0.9507102
A0A045KKX4,P0A6M2,0.9420389
A0A045KKX4,Q15125,0.93944484
A0A045KKX4,Q5SJ79,0.93891484
A0A045KKX4,P83792,0.9381707
A0A045KKX4,O67854,0.9376889
A0A045KKX4,P0A8Q0,0.9376168
A0A045KKX4,P0A8Q3,0.9370919
A0A068JFB7,P18251,0.94924986
A0A068JFB7,P76577,0.9490808
A0A068JFB7,P62594,0.9474371
A0A068JFB7,P62593,0.9474371
A0A068JFB7,P0A434,0.9418873
A0A068JFB7,P0A433,0.9418873
A0A068JFB7,P17297,0.9404998
A0A068JFB7,P0A9Z7,0.9399524
A0A068JFB7,P0A1V8,0.93989885
A0A068JFB7,P0AD63,0.9386372
A0A0E1R3H3,P42971,0.98311603
A0A0E1R3H3,A0A0H2XJ39,0.97565055
A0A0E1R3H3,Q8DNB6,0.9668461
A0A0E1R3H3,P0A3M5,0.9642354
A0A0E1R3H3,P0A3M6,0.9642354
A0A0E1R3H3,Q75Y35,0.96152043
A0A0E1R3H3,Q04707,0.95531714
A0A0E1R3H3,Q8DR59,0.95422137
